campaign_id,campaign_objective,platform,ad_placement,device_type,operating_system,creative_format,creative_size,ad_copy_length,has_call_to_action,creative_emotion,creative_age_days,target_audience_age,target_audience_gender,audience_interest_category,income_bracket,purchase_intent_score,retargeting_flag,start_date,quarter,day_of_week,hour_of_day,campaign_day,quality_score,actual_cpc,impressions,clicks,conversions,ad_spend,revenue,bounce_rate,avg_session_duration_seconds,pages_per_session,industry_vertical,budget_tier,CTR,CPC,conversion_rate,CPA,ROAS,profit,start_month,start_year,start_day,is_weekend,is_peak_hour,revenue_per_click,profit_per_impression,spend_per_impression,click_to_conversion,ctr_quality_ratio,session_quality_score,engagement_score,high_performer,roas_tier
CAMP_00001,Lead Generation,Facebook,Search,Mobile,Android,Text,728x90,Short,False,Curiosity,72,45-54,Female,Shoppers,<$50K,Medium,False,2024-03-06,1,Wednesday,18,34,5,2.23,66329,402,2,896.46,289.67,67.75,70,2.0,E-commerce,High,0.606,2.23,0.498,448.23,0.32,-606.79,3,2024,6,0,0,0.7187841191066998,-0.009148047640584954,0.013515151515151516,0.004962779156327543,0.10099999999999999,2.3333333333333335,0.11421141469499695,0,Low
CAMP_00002,Engagement,Facebook,Feed,Mobile,iOS,Image,320x50,Long,True,Neutral,62,65+,Female,Business Professionals,$50K-$100K,Medium,False,2024-01-26,1,Friday,6,22,5,2.48,50094,467,5,1158.16,1728.2,63.73,105,2.74,Finance,Medium,0.932,2.48,1.071,231.63,1.49,570.04,1,2024,26,0,0,3.692735042735043,0.011379179558838206,0.023119273380576906,0.010683760683760684,0.15533333333333335,4.795,0.13394735853433903,0,Medium
CAMP_00003,Conversions,Google Ads,Feed,Tablet,iOS,Video,1920x1080,Short,False,Urgency,79,65+,Male,Tech Enthusiasts,<$50K,High,False,2025-05-15,2,Thursday,1,32,4,3.88,10842,112,6,434.56,2903.26,31.93,149,3.97,Healthcare,Low,1.033,3.88,5.357,72.43,6.68,2468.7,5,2025,15,0,0,25.69256637168142,0.22767684220234252,0.04007746933505488,0.05309734513274336,0.20659999999999998,9.858833333333335,0.16912268400841285,0,Medium
CAMP_00004,Conversions,LinkedIn,Search,Desktop,iOS,Carousel,1920x1080,Short,False,Joy,57,35-44,All,Shoppers,<$50K,Low,False,2024-07-21,3,Sunday,7,32,4,8.29,7820,123,3,1019.67,502.28,65.52,147,2.49,Education,Medium,1.573,8.29,2.439,339.89,0.49,-517.39,7,2024,21,1,0,4.050645161290323,-0.06615394450837489,0.1303759110088224,0.024193548387096774,0.3146,6.100500000000001,0.15207248367435822,0,Low
CAMP_00005,Brand Awareness,Facebook,Stories,Mobile,iOS,Image,1920x1080,Short,False,Joy,17,25-34,Female,Students,$100K-$200K,Low,False,2025-03-09,1,Sunday,17,52,7,1.41,21436,302,0,425.82,0.0,68.95,81,3.04,SaaS,Low,1.409,1.41,0.0,0.0,0.0,-425.82,3,2025,9,1,0,0.0,-0.019863786910481875,0.019863786910481875,0.0,0.176125,4.104,0.183042194092827,0,Low
CAMP_00006,Brand Awareness,Twitter,Search,Mobile,iOS,Image,300x250,Long,True,Curiosity,70,18-24,Male,Shoppers,<$50K,Low,False,2024-10-29,4,Tuesday,12,63,4,1.66,118264,1453,4,2411.98,1530.95,65.88,116,3.92,Healthcare,Medium,1.229,1.66,0.275,603.0,0.63,-881.03,10,2024,29,0,0,1.0529229711141679,-0.007449625840273961,0.020394706802519764,0.002751031636863824,0.24580000000000002,7.578666666666667,0.11309865200566974,0,Low
CAMP_00007,Brand Awareness,Google Ads,Sidebar,Mobile,Android,Video,300x250,Long,True,Joy,22,25-34,Male,Shoppers,>$200K,Medium,False,2024-08-22,3,Thursday,17,21,6,2.93,117300,3940,85,11544.2,55295.55,45.76,120,1.88,E-commerce,Medium,3.359,2.93,2.157,135.81,4.79,43751.35,8,2024,22,0,0,14.030842425780259,0.3729836062778663,0.09841518827631479,0.021568129916264906,0.47985714285714287,3.76,0.2627205395244556,1,Medium
CAMP_00008,App Installs,LinkedIn,Feed,Mobile,Android,Image,1920x1080,Medium,True,Urgency,23,35-44,Female,Business Professionals,$50K-$100K,High,False,2025-05-01,2,Thursday,7,64,3,11.6,8605,124,4,1438.4,2424.17,47.8,155,3.03,Finance,Medium,1.441,11.6,3.226,359.6,1.69,985.77,5,2025,1,0,0,19.39336,0.11454450383453404,0.16713920520567047,0.032,0.36025,7.8275,0.13477411297187666,0,Medium
CAMP_00009,Conversions,TikTok,Search,Mobile,Android,Image,1080x1080,Long,True,Joy,46,25-34,Female,Students,$50K-$100K,Medium,True,2025-12-27,4,Saturday,22,36,6,2.12,54499,544,9,1153.28,2385.23,54.4,77,3.72,Healthcare,Low,0.998,2.12,1.654,128.14,2.07,1231.95,12,2025,27,1,0,4.376568807339449,0.022604587155963304,0.021161100917431192,0.01651376146788991,0.14257142857142857,4.774000000000001,0.16590995624848653,0,Medium
CAMP_00010,Conversions,TikTok,Feed,Desktop,Android,Image,320x50,Medium,True,Urgency,49,25-34,Male,Shoppers,$50K-$100K,Medium,False,2024-09-17,3,Tuesday,7,28,7,1.71,104451,2449,100,4187.79,26278.99,49.81,151,4.81,E-commerce,Low,2.345,1.71,4.083,41.88,6.28,22091.2,9,2024,17,0,0,10.72611836734694,0.2114961896373454,0.04009296136024203,0.04081632653061224,0.293125,12.105166666666666,0.2701599655693432,1,Medium
